timestamp,hours_simulated,days_simulated,optimization_type,p_min_MW,revenue_kUSD,revenue_increase_pct,p_cap_MW,e_cap_MWh,cost_MUSD,npv_MUSD,cycles_efc,cycles_per_year,wind_mean_MW,wind_peak_MW,rte_pct,solver
2026-02-19 20:57:47,2160,90.0,sizing,15.0,209895.06074118704,36.60851954571436,276.27775769604955,1200.0,-164.53748228768634,2761.493908046794,44.91115974357659,182.13970340450504,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 20:57:47,2160,90.0,dispatch_fixed,15.0,210069.15585301036,36.72182795517549,600.0,1200.0,-128.8319611029611,2725.7883868620675,45.08119886269101,182.82930649869135,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 20:59:30,2160,90.0,sizing,72479.01335792973,22.840236358710484,117.29541366417419,644.6549774381128,910.2300369406663,206.69351000187234,scipy
2026-02-19 20:59:30,2160,90.0,dispatch_fixed,74432.72118644169,26.15145598369475,600.0,1200.0,782.9593452075355,162.96682559262558,scipy
2026-02-19 21:03:28,2160,90.0,sizing,15.0,72479.01335792973,22.840236358710484,117.29541366417419,644.6549774381128,87.03790383323849,910.2300369406663,50.9655230141603,206.69351000187234,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 21:03:28,2160,90.0,dispatch_fixed,15.0,74432.72118644169,26.15145598369475,600.0,1200.0,214.30859556636918,782.9593452075355,40.183600831058364,162.96682559262558,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 22:27:43,2160,90.0,sizing,15.0,72479.01335792973,22.840236358710484,117.29541366417419,644.6549774381128,87.03790383323849,910.2300369406663,50.9655230141603,206.69351000187234,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 22:27:43,2160,90.0,dispatch_fixed,15.0,74432.72118644169,26.15145598369475,600.0,1200.0,214.30859556636918,782.9593452075355,40.183600831058364,162.96682559262558,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 22:41:40,2160,90.0,sizing,72479.01335792973,22.840236358710484,117.29541366417419,644.6549774381128,910.2300369406663,206.69351000187234,scipy
2026-02-19 22:41:40,2160,90.0,dispatch_fixed,74432.72118644169,26.15145598369475,600.0,1200.0,782.9593452075355,162.96682559262558,scipy
2026-02-19 22:44:59,2160,90.0,sizing,15.0,72479.01335792973,22.840236358710484,117.29541366417419,644.6549774381128,87.03790383323849,910.2300369406663,50.9655230141603,206.69351000187234,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 22:44:59,2160,90.0,dispatch_fixed,15.0,74432.72118644169,26.15145598369475,600.0,1200.0,214.30859556636918,782.9593452075355,40.183600831058364,162.96682559262558,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 22:46:15,2160,90.0,sizing,15.0,72479.01335792973,22.840236358710484,117.29541366417419,644.6549774381128,87.03790383323849,910.2300369406663,50.9655230141603,206.69351000187234,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 22:46:15,2160,90.0,dispatch_fixed,15.0,74432.72118644169,26.15145598369475,600.0,1200.0,214.30859556636918,782.9593452075355,40.183600831058364,162.96682559262558,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 22:54:34,2160,90.0,sizing,15.0,72479.01335792973,22.840236358710484,117.29541366417419,644.6549774381128,87.03790383323849,910.2300369406663,50.9655230141603,206.69351000187234,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-19 22:54:34,2160,90.0,dispatch_fixed,15.0,74432.72118644169,26.15145598369475,600.0,1200.0,214.30859556636918,782.9593452075355,40.183600831058364,162.96682559262558,154.89117502325223,325.0,87.74068899999999,scipy
2026-02-20 01:20:19,2880,120.0,sizing,15.0,65796.2539174723,22.84081681419199,113.12494377539895,644.6549774381128,90.31323513387103,814.999648686906,66.20243336528378,201.36573481940482,143.16091122306798,325.0,87.74068899999999,scipy
2026-02-20 01:20:19,2880,120.0,dispatch_fixed,15.0,67560.7258301904,26.13506470976148,600.0,1200.0,220.7866195553995,684.5262642653774,52.00946114612674,158.19544431946883,143.16091122306798,325.0,87.74068899999999,scipy
2026-02-20 01:21:49,2160,90.0,sizing,72479.01335792973,22.840236358710484,117.29541366417419,644.6549774381128,910.2300369406663,206.69351000187234,scipy
2026-02-20 01:21:49,2160,90.0,dispatch_fixed,74432.72118644169,26.15145598369475,600.0,1200.0,782.9593452075355,162.96682559262558,scipy
2026-02-20 01:23:11,2880,120.0,sizing,65796.2539174723,22.84081681419199,113.12494377539895,644.6549774381128,814.999648686906,201.36573481940482,scipy
2026-02-20 01:23:11,2880,120.0,dispatch_fixed,67560.7258301904,26.13506470976148,600.0,1200.0,684.5262642653774,158.19544431946883,scipy
2026-02-20 02:59:22,2880,120.0,sizing,65796.2539174723,22.84081681419199,113.12494377539895,644.6549774381128,814.999648686906,201.36573481940482,scipy
2026-02-20 02:59:22,2880,120.0,dispatch_fixed,67560.7258301904,26.13506470976148,600.0,1200.0,684.5262642653774,158.19544431946883,scipy
2026-02-20 03:11:00,2880,120.0,sizing,65796.2539174723,22.84081681419199,113.12494377539895,644.6549774381128,814.999648686906,201.36573481940482,scipy
2026-02-20 03:11:00,2880,120.0,dispatch_fixed,67560.7258301904,26.13506470976148,600.0,1200.0,684.5262642653774,158.19544431946883,scipy
2026-02-20 03:12:56,2880,120.0,sizing,65796.2539174723,22.84081681419199,113.12494377539895,644.6549774381128,814.999648686906,201.36573481940482,scipy
2026-02-20 03:12:56,2880,120.0,dispatch_fixed,67560.7258301904,26.13506470976148,600.0,1200.0,684.5262642653774,158.19544431946883,scipy
2026-02-20 03:21:03,2880,120.0,sizing,65796.2539174723,22.84081681419199,113.12494377539895,644.6549774381128,814.999648686906,201.36573481940482,scipy
2026-02-20 03:21:03,2880,120.0,dispatch_fixed,67560.7258301904,26.13506470976148,600.0,1200.0,684.5262642653774,158.19544431946883,scipy
2026-02-23 23:17:17,8760,365.0,sizing,5.0,50607.450489506766,22.11480132019139,67.41743536769772,384.1856961466175,53.09979693645035,648.9348285008188,239.87374886210767,239.87374886210765,120.03376762839726,325.0,87.74068899999999,gurobi
2026-02-23 23:17:17,8760,365.0,dispatch_fixed,5.0,51669.70662227233,24.678004867280134,300.0,600.0,102.01210863248814,598.5064975372946,240.87890660416917,240.87890660416917,120.03376762839726,325.0,87.74068899999999,gurobi
2026-02-23 23:23:39,8760,365.0,sizing,0.0,49078.2599146196,18.424893975979796,0.0,0.0,-0.0,702.9871355022743,0.0,0.0,120.03376762839726,325.0,87.74068899999999,gurobi
2026-02-23 23:23:39,8760,365.0,dispatch_fixed,0.0,50719.89563009859,22.3861292742767,150.0,300.0,45.5760099660268,655.7015956964717,303.9269307738172,303.9269307738172,120.03376762839726,325.0,87.74068899999999,gurobi
2026-02-23 23:28:34,8752,364.6666666666667,sizing,0.0,221381.5294836296,25.037245989501898,121.91848362609822,300.0,-110.94219865209324,3103.538173094236,326.2688980577168,326.5671328822668,120.14196321867925,325.0,87.74068899999999,gurobi
2026-02-23 23:28:34,8752,364.6666666666667,dispatch_fixed,0.0,221591.84595842977,25.156033644716725,150.0,300.0,-110.65436488736275,3103.2370850958914,330.37403548955336,330.67602272491854,120.14196321867925,325.0,87.74068899999999,gurobi
